event_date,weather_condition,location,country,latitude,longitude,make,model,purpose_of_flight,broad_phase_of_flight,amateur_built,registration_number,engine_type1,injury_severity,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,people_on_board,pilot_type,no_of_engines1
 04/16/2019 ,vmc,"Hauula, HI", United States , 21.588333 , -157.911944 ,md_helicopters,369,unknown,cruise,no, N593C ,turbine,non-fatal,0,0,0,4,4,unknown,1
 04/04/2019 ,vmc,"Tampa, FL", United States , 27.943333 , -82.401944 ,robinson,r44,personal,cruise,no, N4046J ,reciprocating,fatal(1),1,1,0,2,4,private,1
 04/02/2019 ,vmc,"Taunton, MA", United States , 41.874445 , -71.016389 ,robinson,r44,unknown,unknown,no, N344R ,reciprocating,non-fatal,0,0,0,2,2,unknown,1
 03/30/2019 ,vmc,"Montgomery, NY", United States , 41.539444 , -74.306944 ,bell,222,personal,takeoff,no, N222ML ,turbine,non-fatal,0,0,1,5,6,private,2
 03/29/2019 ,unknown,"Valley Center, CA", United States ,33.2183701,-117.0341967,bell,206,aerial application,unknown,no, N83181 ,turbine,non-fatal,0,0,1,0,1,professional,1
 03/22/2019 ,unknown,"Blazkov village, Czech Republic., Czech Republic", Czech Republic ,49.4730733,16.1851629,enstrom,480,instructional,maneuvering,no,,turbine,fatal(2),2,0,0,0,2,instructional,1
 03/20/2019 ,vmc,"Madill, OK", United States ,34.0903752,-96.7716691,robinson,r22,personal,cruise,no, N7782H ,reciprocating,non-fatal,0,0,0,1,1,private,1
 03/17/2019 ,vmc,"Newberg, OR", United States ,45.300596,-122.9725418,md_helicopters,369,personal,cruise,no, N119T ,turbine,non-fatal,0,0,0,2,2,private,1
 03/13/2019 ,vmc,"Keene, NH", United States , 42.898333 , -72.270834 ,hughes,500,personal,cruise,no, N8045H ,reciprocating,non-fatal,0,0,0,1,1,private,1
 03/13/2019 ,vmc,"Ponte Vedra Beach, FL", United States , 30.206111 , -81.403333 ,bell,oh58,public aircraft - local,maneuvering,no, N519P ,turbine,non-fatal,0,0,0,2,2,professional,1
 03/10/2019 ,unknown,"Galliano, LA", United States , 29.422778 , -90.178334 ,bell,407,unknown,unknown,no, N577AL ,turbine,fatal(2),2,0,0,0,2,unknown,1
 03/08/2019 ,vmc,"Forks, WA", United States ,47.950222,-124.386165,bell,212,external load,maneuvering,no, N64RA ,turbine,fatal(1),1,0,0,0,1,professional,2
 03/05/2019 ,vmc,"Talking Rock, GA", United States , 34.533334 , -84.522500 ,hughes,369,external load,maneuvering,no, N89ZC ,turbine,fatal(1),1,0,0,0,1,professional,1
 03/04/2019 ,vmc,"Timmins, CYTS, Canada", Canada ,48.477473,-81.330414,robinson,r66,unknown,cruise,no,,turbine,fatal(2),2,0,0,0,2,unknown,1
 03/03/2019 ,vmc,"Union Center, SD", United States ,41.8512038,-73.9970834,bell,407,unknown,unknown,no, N450AM ,turbine,non-fatal,0,0,1,2,3,unknown,1
 02/28/2019 ,imc,"TULLAHOMA, TN", United States , 35.345833 , -86.270278 ,sikorsky,seaking,ferry,cruise,no, N260MW ,turbine,non-fatal,0,2,0,0,2,professional,2
 02/21/2019 ,unknown,"Kukuihaele, HI", United States , 20.110833 , -155.554167 ,md_helicopters,369,positioning,approach,no, N506PH ,turbine,non-fatal,0,1,0,0,1,professional,1
 02/19/2019 ,vmc,"Clearwater, FL", United States , 27.975834 , -82.756389 ,robinson,r22,instructional,maneuvering,no, N512GS ,reciprocating,non-fatal,0,0,0,2,2,instructional,1
 02/18/2019 ,unknown,"Glennallen, AK", United States ,62.1371485,-145.822053473283,eurocopter,as350,unknown,unknown,no, N350ST ,turbine,np.nan,0,0,0,0,0,unknown,1
 02/17/2019 ,imc,"Roeldal, Norway", Norway , 59.869723 , 6.721389 ,robinson,r44,unknown,cruise,no,,reciprocating,fatal(2),2,0,0,0,2,unknown,1
 02/11/2019 ,vmc,"Barueri County, Brazil", Brazil ,-23.5112184,-46.8764612,bell,206,unknown,landing,no,,turbine,fatal(3),3,0,0,0,3,unknown,1
 01/29/2019 ,vmc,"Tampa, FL", United States , 28.011111 , -82.344444 ,eurocopter,as350,instructional,landing,no, N680DG ,turbine,non-fatal,0,0,0,2,2,instructional,1
 01/29/2019 ,vmc,"Zaleski, OH", United States , 39.323334 , -82.309444 ,bell,407,unknown,cruise,no, N191SF ,turbine,fatal(3),3,0,0,0,3,unknown,1
 01/23/2019 ,vmc,"Ashland, OR", United States , 42.066667 , -122.596389 ,bell,206,other work use,maneuvering,no, N8227J ,turbine,fatal(1),1,0,0,0,1,professional,1
 01/11/2019 ,vmc,"Yuma, AZ", United States , 32.619445 , -114.645555 ,bell,206,other work use,maneuvering,no, N88HC ,turbine,non-fatal,0,1,0,0,1,professional,1
 01/11/2019 ,unknown,"Ponca City, OK", United States , 36.725278 , -97.101944 ,aerospatiale,as350,positioning,landing,no, N346AE ,turbine,non-fatal,0,0,0,2,2,professional,1
